DATE,TIME,BOROUGH,ZIP CODE,LATITUDE,LONGITUDE,LOCATION,ON STREET NAME,CROSS STREET NAME,OFF STREET NAME,NUMBER OF PERSONS INJURED,NUMBER OF PERSONS KILLED,NUMBER OF PEDESTRIANS INJURED,NUMBER OF PEDESTRIANS KILLED,NUMBER OF CYCLIST INJURED,NUMBER OF CYCLIST KILLED,NUMBER OF MOTORIST INJURED,NUMBER OF MOTORIST KILLED,CONTRIBUTING FACTOR VEHICLE 1,CONTRIBUTING FACTOR VEHICLE 2,CONTRIBUTING FACTOR VEHICLE 3,CONTRIBUTING FACTOR VEHICLE 4,CONTRIBUTING FACTOR VEHICLE 5,UNIQUE KEY,VEHICLE TYPE CODE 1,VEHICLE TYPE CODE 2,VEHICLE TYPE CODE 3,VEHICLE TYPE CODE 4,VEHICLE TYPE CODE 5
05/14/2016,8:30,BRONX,10454,40.8032746,-73.9188734,"(40.8032746, -73.9188734)",BRUCKNER BOULEVARD              ,SAINT ANNS PLACE                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442156,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,8:20,BRONX,10472,40.8285818,-73.8791708,"(40.8285818, -73.8791708)",ELDER AVENUE                    ,WESTCHESTER AVENUE              ,                                        ,1,0,1,0,0,0,0,0,Unspecified,Unspecified,,,,3449011,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,8:00,,,,,,                                ,                                ,SMITH STREET                            ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442512,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,8:00,MANHATTAN,10003,40.7353704,-73.9899687,"(40.7353704, -73.9899687)",UNION SQUARE EAST               ,EAST 15 STREET                  ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441140,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,7:58,QUEENS,11103,40.7626026,-73.9182407,"(40.7626026, -73.9182407)",                                ,                                ,30-91 37 STREET                         ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441375,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,7:50,,,,,,HOWARD AVENUE                   ,BLAKE AVENUE                    ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3443986,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,7:50,BROOKLYN,11232,40.649656,-74.0163429,"(40.649656, -74.0163429)",49 STREET                       ,2 AVENUE                        ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441582,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,7:45,,,,,,BRONX SIDE                      ,                                ,                                        ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3441534,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,7:45,,,,,,67 AVENUE                       ,SPRINGFIELD BOULEVARD           ,                                        ,0,0,0,0,0,0,0,0,Unspecified,,,,,3441805,,,,,
05/14/2016,7:25,BROOKLYN,11206,40.6952172,-73.937483,"(40.6952172, -73.937483)",LEWIS AVENUE                    ,WILLOUGHBY AVENUE               ,                                        ,2,0,0,0,0,0,2,0,Unspecified,Unspecified,Unspecified,Unspecified,,3444450,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
05/14/2016,7:13,MANHATTAN,10016,40.7460781,-73.9749359,"(40.7460781, -73.9749359)",EAST 36 STREET                  ,2 AVENUE                        ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441475,PASSENGER VEHICLE,VAN,,,
05/14/2016,7:12,QUEENS,11104,40.7516393,-73.9098446,"(40.7516393, -73.9098446)",WOODSIDE AVENUE                 ,37 AVENUE                       ,                                        ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3441793,PASSENGER VEHICLE,MOTORCYCLE,,,
05/14/2016,7:11,BRONX,10469,40.8779398,-73.8552618,"(40.8779398, -73.8552618)",                                ,                                ,1028 EAST 215 STREET                    ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442249,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,7:10,QUEENS,11433,40.6889963,-73.7858047,"(40.6889963, -73.7858047)",BREWER BOULEVARD                ,LINDEN BOULEVARD                ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442848,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,7:10,QUEENS,11373,40.7439732,-73.8850947,"(40.7439732, -73.8850947)",WOODSIDE AVENUE                 ,BROADWAY                        ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3442807,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,7:09,STATEN ISLAND,10312,40.5501478,-74.1875721,"(40.5501478, -74.1875721)",WOODROW ROAD                    ,ARDEN AVENUE                    ,                                        ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,,,,3441873,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
05/14/2016,7:00,QUEENS,11419,40.6929686,-73.8251018,"(40.6929686, -73.8251018)",95 AVENUE                       ,121 STREET                      ,                                        ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,Unspecified,,,3441697,PASSENGER VEHICLE,OTHER,PASSENGER VEHICLE,,
05/14/2016,6:44,BRONX,10461,40.8386725,-73.8356655,"(40.8386725, -73.8356655)",HARRINGTON AVENUE               ,EAST TREMONT AVENUE             ,                                        ,1,0,0,0,0,0,1,0,Unspecified,Unspecified,Unspecified,Unspecified,,3442212,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,PASSENGER VEHICLE,
05/14/2016,6:24,BROOKLYN,11208,40.6715407,-73.8763514,"(40.6715407, -73.8763514)",                                ,                                ,310 MILFORD STREET                      ,0,0,0,0,0,0,0,0,Unspecified,Unspecified,,,,3441620,PASSENGER VEHICLE,PASSENGER VEHICLE,,,
