Date of Census,Total Adults in Shelter,Total Children in Shelter,Total Individuals in Shelter,Single Adult Men in Shelter,Single Adult Women in Shelter,Total Single Adults in Shelter,Families with Children in Shelter,Adults in Families with Children in Shelter,Children in Families with Children in Shelter,Total Individuals in Families with Children in Shelter ,Adult Families in Shelter,Individuals in Adult Families in Shelter
07/05/2018,37094,21957,59051,11007,4140,15147,12358,16776,21957,38733,2441,5171
07/06/2018,37011,21862,58873,10972,4162,15134,12304,16697,21862,38559,2443,5180
07/07/2018,37038,21870,58908,11000,4156,15156,12307,16701,21870,38571,2444,5181
07/08/2018,37157,21908,59065,11080,4188,15268,12329,16719,21908,38627,2439,5170
07/09/2018,37178,21878,59056,11073,4196,15269,12310,16713,21878,38591,2452,5196
07/10/2018,37178,21832,59010,11102,4225,15327,12282,16672,21832,38504,2443,5179
07/11/2018,37217,21829,59046,11126,4212,15338,12299,16689,21829,38518,2447,5190
07/12/2018,37119,21845,58964,11062,4201,15263,12299,16680,21845,38525,2442,5176
07/13/2018,37026,21835,58861,11038,4162,15200,12290,16660,21835,38495,2437,5166
07/14/2018,37024,21863,58887,11034,4163,15197,12327,16701,21863,38564,2417,5126
07/15/2018,37152,21863,59015,11099,4217,15316,12324,16705,21863,38568,2420,5131
07/16/2018,37155,21803,58958,11110,4205,15315,12304,16685,21803,38488,2432,5155
07/17/2018,37151,21785,58936,11123,4229,15352,12297,16668,21785,38453,2422,5131
07/18/2018,37206,21854,59060,11144,4219,15363,12342,16714,21854,38568,2419,5129
07/19/2018,37180,21845,59025,11121,4216,15337,12341,16716,21845,38561,2419,5127
07/20/2018,37035,21787,58822,11038,4187,15225,12322,16680,21787,38467,2421,5130
07/21/2018,37094,21776,58870,11099,4197,15296,12321,16674,21776,38450,2417,5124
07/22/2018,37179,21757,58936,11166,4222,15388,12315,16660,21757,38417,2420,5131
07/23/2018,37169,21723,58892,11152,4234,15386,12285,16629,21723,38352,2430,5154
07/24/2018,37252,21710,58962,11219,4264,15483,12278,16627,21710,38337,2425,5142
07/25/2018,37305,21797,59102,11180,4273,15453,12323,16679,21797,38476,2438,5173
07/26/2018,37216,21792,59008,11128,4250,15378,12314,16666,21792,38458,2437,5172
07/27/2018,37195,21734,58929,11117,4257,15374,12306,16668,21734,38402,2428,5153
07/28/2018,37139,21765,58904,11072,4249,15321,12323,16671,21765,38436,2426,5147
07/29/2018,37238,21783,59021,11140,4274,15414,12329,16685,21783,38468,2422,5139
07/30/2018,37217,21744,58961,11128,4282,15410,12311,16658,21744,38402,2428,5149
07/31/2018,37190,21762,58952,11097,4259,15356,12320,16664,21762,38426,2438,5170
08/01/2018,37120,21749,58869,11035,4262,15297,12325,16677,21749,38426,2424,5146
08/02/2018,37162,21701,58863,11081,4265,15346,12308,16643,21701,38344,2437,5173
08/03/2018,37103,21737,58840,11028,4263,15291,12312,16640,21737,38377,2437,5172
08/04/2018,37137,21791,58928,11041,4245,15286,12349,16686,21791,38477,2431,5165
08/05/2018,37261,21827,59088,11088,4285,15373,12365,16714,21827,38541,2435,5174
08/06/2018,37293,21823,59116,11111,4290,15401,12367,16712,21823,38535,2438,5180
08/07/2018,37386,21877,59263,11133,4306,15439,12378,16744,21877,38621,2449,5203
08/08/2018,37367,21850,59217,11140,4290,15430,12384,16746,21850,38596,2444,5191
08/09/2018,37384,21854,59238,11149,4274,15423,12388,16747,21854,38601,2454,5214
08/10/2018,37310,21859,59169,11055,4269,15324,12388,16757,21859,38616,2460,5229
08/11/2018,37390,21866,59256,11100,4276,15376,12401,16778,21866,38644,2464,5236
08/12/2018,37441,21859,59300,11140,4283,15423,12401,16770,21859,38629,2470,5248
08/13/2018,37444,21812,59256,11162,4301,15463,12373,16737,21812,38549,2469,5244
08/14/2018,37464,21831,59295,11191,4313,15504,12375,16739,21831,38570,2458,5221
08/15/2018,37562,21945,59507,11198,4324,15522,12428,16800,21945,38745,2468,5240
08/16/2018,37550,21935,59485,11201,4323,15524,12422,16783,21935,38718,2471,5243
08/17/2018,37467,21942,59409,11136,4303,15439,12435,16787,21942,38729,2470,5241
08/18/2018,37469,21977,59446,11121,4311,15432,12448,16797,21977,38774,2468,5240
08/19/2018,37588,22004,59592,11199,4327,15526,12472,16830,22004,38834,2464,5232
08/20/2018,37678,22024,59702,11235,4334,15569,12486,16860,22024,38884,2473,5249
08/21/2018,37592,21963,59555,11217,4333,15550,12446,16788,21963,38751,2474,5254
08/22/2018,37733,22043,59776,11236,4360,15596,12496,16862,22043,38905,2485,5275
08/23/2018,37703,22041,59744,11244,4359,15603,12494,16848,22041,38889,2473,5252
08/24/2018,37593,22053,59646,11149,4330,15479,12507,16860,22053,38913,2475,5254
08/25/2018,37557,22072,59629,11114,4309,15423,12519,16881,22072,38953,2473,5253
08/26/2018,37721,22140,59861,11202,4333,15535,12552,16919,22140,39059,2479,5267
08/27/2018,37717,22117,59834,11181,4359,15540,12539,16908,22117,39025,2480,5269
08/28/2018,37635,22025,59660,11183,4341,15524,12497,16852,22025,38877,2476,5259
08/29/2018,37707,22136,59843,11191,4346,15537,12546,16908,22136,39044,2477,5262
08/30/2018,37691,22123,59814,11171,4332,15503,12556,16925,22123,39048,2477,5263
08/31/2018,37508,22118,59626,11066,4275,15341,12555,16908,22118,39026,2475,5259
09/01/2018,37491,22113,59604,11051,4286,15337,12552,16880,22113,38993,2482,5274
09/02/2018,37594,22183,59777,11116,4305,15421,12573,16921,22183,39104,2471,5252
09/03/2018,37618,22170,59788,11130,4321,15451,12566,16922,22170,39092,2467,5245
09/04/2018,37663,22116,59779,11214,4321,15535,12531,16862,22116,38978,2479,5266
09/05/2018,37702,22113,59815,11253,4329,15582,12517,16847,22113,38960,2480,5273
09/06/2018,37650,22097,59747,11221,4273,15494,12530,16866,22097,38963,2489,5290
09/07/2018,37626,22159,59785,11150,4291,15441,12551,16900,22159,39059,2487,5285
09/08/2018,37678,22213,59891,11180,4306,15486,12568,16921,22213,39134,2480,5271
09/09/2018,37841,22266,60107,11267,4356,15623,12597,16963,22266,39229,2473,5255
09/10/2018,37854,22240,60094,11266,4371,15637,12574,16934,22240,39174,2485,5283
09/11/2018,37912,22257,60169,11303,4374,15677,12590,16953,22257,39210,2484,5282
09/12/2018,38001,22308,60309,11318,4385,15703,12619,16985,22308,39293,2500,5313
09/13/2018,37976,22264,60240,11288,4381,15669,12617,16984,22264,39248,2503,5323
09/14/2018,37845,22243,60088,11208,4355,15563,12610,16967,22243,39210,2500,5315
09/15/2018,37859,22294,60153,11199,4370,15569,12632,17009,22294,39303,2481,5281
09/16/2018,37933,22347,60280,11248,4374,15622,12651,17030,22347,39377,2481,5281
09/17/2018,38030,22321,60351,11320,4401,15721,12635,16990,22321,39311,2500,5319
09/18/2018,38083,22354,60437,11338,4400,15738,12658,17024,22354,39378,2502,5321
09/19/2018,38071,22434,60505,11315,4400,15715,12695,17063,22434,39497,2488,5293
09/20/2018,38012,22456,60468,11281,4395,15676,12695,17058,22456,39514,2482,5278
09/21/2018,38024,22527,60551,11264,4356,15620,12732,17111,22527,39638,2491,5293
09/22/2018,38046,22540,60586,11252,4379,15631,12745,17126,22540,39666,2491,5289
09/23/2018,38138,22532,60670,11329,4402,15731,12752,17119,22532,39651,2490,5288
09/24/2018,38181,22538,60719,11346,4408,15754,12749,17124,22538,39662,2498,5303
09/25/2018,38203,22554,60757,11344,4408,15752,12757,17140,22554,39694,2502,5311
09/26/2018,38175,22559,60734,11323,4414,15737,12759,17138,22559,39697,2496,5300
09/27/2018,38120,22549,60669,11311,4406,15717,12741,17109,22549,39658,2493,5294
09/28/2018,37990,22468,60458,11248,4380,15628,12701,17060,22468,39528,2498,5302
09/29/2018,37938,22456,60394,11203,4386,15589,12689,17052,22456,39508,2495,5297
09/30/2018,38020,22420,60440,11284,4401,15685,12673,17034,22420,39454,2496,5301
10/01/2018,38015,22376,60391,11280,4363,15643,12660,17023,22376,39399,2518,5349
10/02/2018,38059,22464,60523,11298,4394,15692,12691,17052,22464,39516,2501,5315
10/03/2018,38087,22500,60587,11310,4383,15693,12720,17086,22500,39586,2501,5308
10/04/2018,38144,22555,60699,11330,4379,15709,12732,17104,22555,39659,2512,5331
10/05/2018,38082,22575,60657,11252,4358,15610,12743,17121,22575,39696,2521,5351
10/06/2018,38059,22598,60657,11230,4345,15575,12765,17157,22598,39755,2509,5327
10/07/2018,38150,22583,60733,11300,4362,15662,12764,17152,22583,39735,2513,5336
10/08/2018,38210,22569,60779,11326,4405,15731,12754,17138,22569,39707,2516,5341
10/09/2018,38244,22590,60834,11329,4397,15726,12764,17143,22590,39733,2533,5375
10/11/2018,38237,22561,60798,11363,4380,15743,12774,17149,22561,39710,2518,5345
10/12/2018,38210,22597,60807,11349,4375,15724,12775,17145,22597,39742,2516,5341
10/13/2018,38245,22649,60894,11336,4371,15707,12799,17181,22649,39830,2524,5357
10/14/2018,38298,22663,60961,11351,4419,15770,12790,17175,22663,39838,2522,5353
10/15/2018,38323,22644,60967,11362,4417,15779,12775,17151,22644,39795,2540,5393
10/16/2018,38276,22642,60918,11364,4368,15732,12784,17157,22642,39799,2539,5387
10/17/2018,38338,22665,61003,11360,4426,15786,12804,17173,22665,39838,2534,5379
10/18/2018,38305,22614,60919,11385,4422,15807,12779,17145,22614,39759,2522,5353
10/19/2018,38258,22618,60876,11369,4413,15782,12776,17137,22618,39755,2516,5339
10/20/2018,38230,22632,60862,11315,4416,15731,12797,17159,22632,39791,2517,5340
